brand,serie,code,color,bases,surfaces,mediums,sources,note,desc_en,desc_es,desc_ja,equivs
ak,AFV,11301,#4A3C2C,8,4,5,ak_equiv21,,WWI British Khaki Brown Base,,,ak;4042;ak_equiv21
ak,AFV,11302,#907651,8,4,5,ak_equiv21,,WWI French Milky Coffee,,,av;71.027;ak_equiv21|fs;23448;ak_equiv21|lifecolor;UA097;ak_equiv21|ak;4051;ak_equiv21
ak,AFV,11303,#4F5B6A,8,4,5,ak_equiv21,,WWI French Artillery Grey,,,av;71.257;ak_equiv21|fs;36176;ak_equiv21|ak;4052;ak_equiv21
ak,AFV,11304,#462514,8,4,5,ak_equiv21,,WWI French Brown,,,fs;31090;ak_equiv21|ak;4053;ak_equiv21
ak,AFV,11305,#2D3B2A,8,4,5,ak_equiv21,,WWI French Green 1,,,av;71.006;ak_equiv21|fs;34097;ak_equiv21|ak;4054;ak_equiv21
ak,AFV,11306,#222217,8,4,5,ak_equiv21,,WWI French Green 2,,,ak;4055;ak_equiv21
ak,AFV,11307,#736737,8,4,5,ak_equiv21,,RAL 7009 Hellgrau,,,ral;7009;ak_equiv21|real;54;ak_equiv21|hataka;233;ak_equiv21
ak,AFV,11308,#3D6136,8,4,5,ak_equiv21,,RAL 6007 Grün,,,av;71.019;ak_equiv21|ral;6007;ak_equiv21|real;49;ak_equiv21|hataka;298;ak_equiv21
ak,AFV,11309,#465025,8,4,5,ak_equiv21,,RAL 6003 Olivgrün opt.1,,,av;71.092;ak_equiv21|gunze;H405;ak_equiv21|ral;6003;ak_equiv21|real;47;ak_equiv21|lifecolor;UA206;ak_equiv21|hataka;169;ak_equiv21
ak,AFV,11310,#333317,8,4,5,ak_equiv21,,RAL 6003 Olivgrün opt.2,,,ak;755;ak_equiv21
ak,AFV,11311,#5B6B42,8,4,5,ak_equiv21,,RAL 6011 Resedagrün,,,ral;6011;ak_equiv21|ak;715;ak_equiv21
ak,AFV,11312,#526137,8,4,5,ak_equiv21,,RAL 6011B Resedagrün,,,ak;716;ak_equiv21
ak,AFV,11313,#786C3A,8,4,5,ak_equiv21,,RAL 7008 Graugrün,,,av;71.116;ak_equiv21|ral;7008;ak_equiv21|real;53;ak_equiv21|lifecolor;UA212;ak_equiv21|hataka;304;ak_equiv21
ak,AFV,11314,#65733E,8,4,5,ak_equiv21,,RAL 7008 Graugrün Opt 2,,,
ak,AFV,11315,#46372B,8,4,5,ak_equiv21,,RAL 7017 Dunkelbraun,,,av;71.248;ak_equiv21|ral;7017;ak_equiv21|real;56;ak_equiv21|lifecolor;UA210;ak_equiv21
