prop,serie,ref,name,name_es,color,medium
M,MC,70.740,Cam. Middle Brown,Cam. Marrón Medio,#483B21,4
M,MC,70.741,Cam. Black Green,Cam. Verde Negro,#2A2D28,4
M,MC,70.745,Dark Rose,Rosa Oscuro,#785354,4
M,MC,70.746,Chestnut Brown,Marrón Castaño,#593E3B,4
M,MC,70.747,Faded Red,Rojo Desgastado,#B86058,4
M,MC,70.748,Light Pink,Rosa Claro,#DE8A9F,4
M,MC,70.749,Dark Purple,Púrpura Oscuro,#3F2335,4
M,MC,70.750,Light Violet,Violeta Claro,#9E8DB6,4
M,MC,70.751,Black Violet,Violeta Negro,#322732,4
M,MC,70.752,Infantry Blue,Azul Infantería,#1B1A2B,4
M,MC,70.753,Light Blue Green,Azul Verde Claro,#0E9CA6,4
M,MC,70.754,Continental Blue,Azul Continental,#1B1E2A,4
M,MC,70.755,Light Emerald,Esmeralda Claro,#0E8279,4
M,MC,70.756,Splinter Green,Verde Splinter,#446747,4
M,MC,70.757,Pacific Green,Verde Pacífico,#5A756B,4
M,MC,70.758,Bright Green,Verde Claro,#6D8352,4
M,MC,70.759,German Tank Crew,Carrista Alemán,#4B483E,4
M,MC,70.760,Light Mud,Lodo Claro,#797962,4
M,MC,70.761,Old Wood,Madera Vieja,#7C6D59,4
M,MC,70.762,Grey Brown,Marrón Grisáceo,#544725,4
M,MC,70.763,Canvas,Lona,#423A1E,4
M,MC,70.764,Military Yellow,Amarillo Militar,#8A7331,4
M,MC,70.765,Desert Tan,Arena Tostada,#AD9E85,4
M,MC,70.766,Cream White,Blanco Crema,#DACABB,4
M,MC,70.767,Desert Brown,Marrón Desierto,#A7845D,4
M,MC,70.768,BC Dark Brown,Marrón Oscuro,#6D5540,4
M,MC,70.769,Mustard Brown,Marrón Mostaza,#977150,4
M,MC,70.770,New Wood,Madera Nueva,#826041,4
M,MC,70.771,Dark Rust,Óxido Oscuro,#352024,4
M,MC,70.772,Medium Grey Blue,Azul Gris Medio,#729B93,4
M,MC,70.773,Violet Grey,Gris Violeta,#545758,4
M,MC,70.774,Lavender Grey,Gris Lavanda,#7D7273,4
ME,MC,70.800,Gunmetal Blue,Metal Azul,#1B2332,4
ME,MC,70.801,Brass,Latón,#5F3C22,4
M,MC,70.802,Sunset Red,Rojo Sunset,#BE3355,4
M,MC,70.803,Brown Rose,Rosa Marrón,#976965,4
M,MC,70.804,Beige Red,Rojo Beige,#AC7153,4
M,MC,70.805,German Orange,Naranja Alemán,#B8685D,4
M,MC,70.806,German Yellow,Amarillo Lasur,#C5B266,4
M,MC,70.807,Oxford Blue,Azul Oxford,#3C3E5A,4
M,MC,70.808,Blue Green,Azul Verde,#097F8A,4
M,MC,70.809,Royal Blue,Azul Real,#154E87,4
M,MC,70.810,Royal Purple,Púrpura Real,#472544,4
M,MC,70.811,Blue Violet,Violeta Azul,#595086,4
M,MC,70.812,Violet Red,Rojo Violeta,#5D3642,4
M,MC,70.814,Burnt Red,Rojo Tostado,#6E3D3F,4
M,MC,70.815,Basic Skin Tone,Carne Base,#E6A688,4
M,MC,70.816,Luftwaffe Uniform,Uniforme Luftwaffe,#424551,4
M,MC,70.817,Scarlet,Escarlata,#C04739,4
M,MC,70.818,Red Leather,Cuero Rojo,#945C44,4
M,MC,70.819,Iraqi Sand,Arena Iraquí,#AA8B5F,4
