base,serie,code,color,desc_ja,desc_en,prop,cat,medium
0,C,C1,#ffffff,ホワイト（白）,WHITE,G,P,1
0,C,C2,#231f20,ブラック（黒）,BLACK,G,P,1
0,C,C3,#ed1c24,レッド（赤）,RED,G,P,1
0,C,C4,#ffdd00,イエロー（黄）,YELLOW,G,P,1
0,C,C5,#005aaa,ブルー（青）,BLUE,G,P,1
0,C,C6,#006835,グリーン（緑）,GREEN,G,P,1
0,C,C7,#ca4136,ブラウン（茶）,BROWN,G,P,1
0,C,C8,#d1d3d4,シルバー（銀）,SILVER,ME,P,1
0,C,C9,#dcaf31,ゴールド（金）,GOLD,ME,P,1
0,C,C10,#cd733a,カッパー（銅）,COPPER,ME,P,1
0,C,C11,#b4bbbf,ガルグレー,LIGHT GULL GRAY,SG,A,1
0,C,C12,#6f5f3c,オリーブドラブ（1）,OLIVE DRAB (1),SG,A,1
0,C,C13,#677a83,ニュートラルグレー,NEUTRAL GRAY,SG,A,1
0,C,C14,#234f5b,ネイビーブルー,NAVY BLUE,SG,A,1
0,C,C15,#003920,暗緑色（中島系）,IJN GREEN (NAKAJIMA),SG,A,1
0,C,C16,#22543f,濃緑色,IJA GREEN,SG,A,1
0,C,C17,#51544c,ダークグリーン,RLM71 DARK GREEN,SG,A,1
0,C,C18,#273c4d,ブラックグリーン,RLM70 BLACK GREEN,SG,A,1
0,C,C19,#9d8145,サンディブラウン,SANDY BROWN,SG,A,1
0,C,C20,#4dbfa5,ライトブルー,LIGHT BLUE,SG,A,1
0,C,C21,#aa8a4b,ミドルストーン,MIDDLE STONE,SG,A,1
0,C,C22,#5c5144,ダークアース,DARK EARTH,SG,A,1
0,C,C23,#4b604d,ダークグリーン（2）,DARK GREEN (2),SG,A,1
0,C,C25,#707863,ダークシーグレー,DARK SEAGRAY,SG,A,1
0,C,C26,#cfdaaa,ダックエッググリーン（スカイ）,DUCK EGG GREEN,SG,A,1
0,C,C27,#b2a335,機体内部色,INTERIOR GREEN,SG,A,1
0,C,C28,#231f20,黒鉄色,STEEL,ME,P,1
0,C,C29,#61343b,艦底色（ココアブラウン）,HULL RED,SG,S,1
0,C,C30,#ffffff,フラットベース・スタンダード,FLAT BASE,M,40,1
0,C,C31,#848c8d,軍艦色（1）,DARK GRAY (1),SG,S,1
0,C,C32,#485d64,軍艦色（2）,DARK GRAY (2),SG,S,1
0,C,C33,#231f20,つや消しブラック,FLAT BLACK,M,P,1
0,C,C34,#0095da,スカイブルー,SKY BLUE,G,P,1
0,C,C35,#94b0be,明灰白色（三菱系）,IJN GRAY (MITSUBISHI),SG,A,1
0,C,C36,#264142,グレーグリーン,RLM74 GRAY GREEN,SG,A,1
0,C,C37,#546460,グレーバイオレット,RLM75 GRAY VIOLET,SG,A,1
0,C,C38,#44503d,オリーブドラブ（2）,OLIVE DRAB (2),M,T,1
0,C,C39,#ba9765,ダークイエロー,DARK YELLOW (SANDY YELLOW),M,T,1
0,C,C40,#2f4248,ジャーマングレー,GERMAN GRAY,M,T,1
0,C,C41,#573438,レッドブラウン,RED BROWN,M,T,1
0,C,C42,#4d3538,マホガニー,MAHOGANY,SG,P,1
0,C,C43,#71513a,ウッドブラウン,WOOD BROWN,SG,P,1
0,C,C44,#c4a26e,タン（ライトブラウン）,TAN,SG,S,1
0,C,C45,#b9b084,セールカラー,SAIL COLOR,SG,S,1
0,C,C46,#ffffff,クリアー（透明）,CLEAR,C,P,1
0,C,C47,#ed1c24,クリアーレッド,CLEAR RED,C,P,1
0,C,C48,#ffd401,クリアーイエロー,CLEAR YELLOW,C,P,1
0,C,C49,#f26522,クリアーオレンジ,CLEAR ORANGE,C,P,1
0,C,C50,#00aeef,クリアーブルー,CLEAR BLUE,C,P,1
0,C,C51,#e3ac7c,薄茶色,FLESH,SG,P,1
0,C,C52,#405651,フィールドグレー2（オリーブグレー）,FIELD GRAY (2),M,T,1
0,C,C54,#3a4940,カーキグリーン,KHAKI GREEN,M,T,1
0,C,C55,#5b573d,カーキ,KHAKI,M,T,1
0,C,C56,#6f9f9b,明灰緑色（中島系）,IJN GRAY GREEN (NAKAJIMA),SG,T,1
0,C,C57,#007b72,青竹色,METALLIC BLUE GREEN,ME,A,1
0,C,C58,#f47920,黄橙色（オレンジイエロー）,ORANGE YELLOW,SG,A,1
0,C,C59,#ef4023,オレンジ（橙）,ORANGE,G,P,1
0,C,C60,#959480,RLM02 グレー,RLM02 GRAY,SG,A,1
0,C,C61,#58575c,焼鉄色,BURNT IRON,ME,P・C,1
0,C,C62,#ffffff,つや消しホワイト,FLAT WHITE,M,P,1
0,C,C63,#f17298,ピンク（桃）,PINK,G,P,1
0,C,C64,#1eaa4a,ルマングリーン（黄緑）,YELLOW GREEN,G,P・C,1
0,C,C65,#074ea2,インディブルー,BRIGHT BLUE,G,P・C,1
0,C,C66,#00a650,デイトナグリーン,BRIGHT GREEN,G,P・C,1
0,C,C67,#483087,パープル（紫）,PURPLE,G,P,1
0,C,C68,#da2128,モンザレッド,MADDER RED,G,P・C,1
0,C,C69,#f6f3ee,グランプリホワイト,OFF WHITE,G,P・C,1
0,C,C70,#3a4940,ダークグリーン,DARK GREEN,M,T,1
0,C,C71,#38494e,ミッドナイトブルー,MIDNIGHT BLUE,G,A,1
0,C,C72,#2d5562,ミディアムブルー,INTERMEDIATE BLUE,SG,A,1
0,C,C73,#729998,エアクラフトグレー,AIRCRAFT GRAY,G,A,1
0,C,C74,#1a737e,エアスペリオリティーブルー,AIR SUPERIORITY BLUE,G,A,1
0,C,C75,#af2a30,メタリックレッド,METALLIC RED,ME,P・C,1
0,C,C76,#005aaa,メタリックブルー,METALLIC BLUE,ME,P・C,1
0,C,C77,#009058,メタリックグリーン,METALLIC GREEN,ME,P・C,1
0,C,C78,#231f20,メタルブラック,METAL BLACK,ME,P・C,1
0,C,C79,#ed1c24,シャインレッド（朱色）,SHINE RED,G,P,1
0,C,C80,#2e3092,コバルトブルー,COBALT BLUE,SG,P,1
0,C,C81,#7c3139,あずき色（赤２号）,RUSSET,G,P,1
0,C,C90,#c7c8ca,シャインシルバー,SHINE SILVER,ME,P,1
0,C,C92,#231f20,セミグロスブラック,SEMI GLOSS BLACK,SG,P,1
0,C,C97,#aab7af,灰色９号,LIGHT GRAY,G,P,1
0,C,C100,#af2a3d,マルーン（ワインレッド）,WINE RED,G,P,1
0,C,C101,#3b2f20,スモークグレー,SMOKE GRAY,G,P・C,1
0,C,C104,#a8b8bf,ガンクローム,GUN CHROME,ME,P,1
0,C,C107,#f0f1ee,キャラクターホワイト,CHARACTER WHITE,SG,P,1
0,C,C108,#c9252b,キャラクターレッド,CHARACTER RED,SG,P,1
0,C,C109,#f5821f,キャラクターイエロー,CHARACTER YELLOW,SG,P,1
0,C,C110,#074ea2,キャラクターブルー,CHARACTER BLUE,SG,P,1
0,C,C111,#fdddcf,キャラクターフレッシュ（1）,CHARACTER FLESH (1),SG,P,1
0,C,C112,#f9b5b2,キャラクターフレッシュ（2）,CHARACTER FLESH (2),SG,P,1
0,C,C113,#faa619,RLM04 イエロー,RLM04 YELLOW,SG,A,1
0,C,C114,#c9234a,RLM23 レッド,RLM23 RED,SG,A,1
0,C,C115,#6d92a0,RLM65 ライトブルー,RLM65 LIGHT BLUE,SG,A,1
0,C,C116,#404041,RLM66 ブラックグレー,RLM66 BLACK GRAY,SG,A,1
0,C,C117,#afcbc9,RLM76 ライトブルー,RLM76 LIGHT BLUE,SG,A,1
0,C,C118,#779fae,RLM78 ライトブルー,RLM78 LIGHT BLUE,SG,A,1
0,C,C119,#92725f,サンドイエロー,RLM79 SAND YELLOW,SG,A,1
0,C,C120,#193f2c,オリーブグリーン,RLM80 OLIVE GREEN,SG,A,1
0,C,C121,#51544c,ブラウンバイオレット,RLM81 BROWN VIOLET,SG,A,1
0,C,C122,#64855b,RLM82 ライトグリーン,RLM82 LIGHT GREEN,SG,A,1
0,C,C123,#3c5c53,RLM83 ダークグリーン,RLM83 DARK GREEN,SG,A,1
0,C,C124,#034b24,暗緑色（三菱系）,DARK GREEN (MITSUBISHI),SG,A,1
0,C,C125,#000e23,カウリング色,COWLING COLOR,SG,A,1
0,C,C126,#546949,コクピット色（三菱系）,COCKPIT COLOR (MITSUBISHI),SG,A,1
0,C,C127,#a2b180,コクピット色（中島系）,COCKPIT COLOR (NAKAJIMA),SG,A,1
0,C,C128,#a5aba1,灰緑色,GRAY GREEN,SG,A,1
0,C,C129,#536955,濃緑色（中島系）,DARK GREEN (NAKAJIMA),SG,A,1
0,C,C130,#566348,濃緑色（川崎系）,DARK GREEN (KAWASAKI),SG,A,1
0,C,C131,#4b2014,赤褐色,RED BROWN Ⅱ,SG,A,1
0,C,C132,#6f5f3c,土草色,EARTH GREEN,M,T,1
0,C,C135,#369954,ロシアングリーン（1）,RUSSIAN GREEN (1),M,T,1
0,C,C136,#3a6149,ロシアングリーン（2）,RUSSIAN GREEN (2),M,T,1
0,C,C137,#231f20,タイヤブラック,TIRE BLACK,M,A・C,1
0,C,C138,#00a650,クリアーグリーン,CLEAR GREEN,C,P,1
0,C,C151,#ffffff,ホワイトパール,WHITE PEARL,PA,C,1
0,C,C156,#ffffff,スーパーホワイト,SUPER WHITE Ⅳ,G,P・C,1
0,C,C158,#da2128,スーパーイタリアンレッド,SUPER ITALIAN RED,G,P・C,1
0,C,C159,#d1d3d4,スーパーシルバー,SUPER SILVER,ME,C,1
0,C,C171,#ed1c24,蛍光レッド,FLUORESCENT RED,FL,P,1
0,C,C172,#fff200,蛍光イエロー,FLUORESCENT YELLOW,FL,P,1
0,C,C173,#ee3124,蛍光オレンジ,FLUORESCENT ORANGE,FL,P,1
0,C,C174,#ed0972,蛍光ピンク,FLUORESCENT PINK,FL,P,1
0,C,C175,#00a650,蛍光グリーン,FLUORESCENT GREEN,FL,P,1
0,C,C181,#ffffff,スーパークリア半光沢,SEMI-GLOSS SUPER CLEAR,C,P,1
0,C,C182,#ffffff,スーパークリアー,FLAT CLEAR,C,P,1
0,C,C183,#eff2f3,スーパークリアーグレートーン,SUPER CLEAR GRAY TONE,C,P,1
0,C,C188,#ffffff,フラットベース,FLAT BASE ROUGH,M,P,1
0,C,C189,#ffffff,フラットベース,FLAT BASE SMOOTH,M,P,1
0,C,C301,#3c424c,グレー FS36081,GRAY FS36081,SG,A,1
0,C,C302,#3b5c59,グリーン FS34092,GREEN FS34092,SG,A,1
0,C,C303,#54645a,グリーン FS34102,GREEN FS34102,SG,A,1
0,C,C304,#49433b,オリーブドラブ FS34087,OLIVE DRAB FS34087,SG,A,1
0,C,C305,#4d7070,グレー FS36118,GRAY FS36118,SG,A,1
0,C,C306,#6b888a,グレー FS36270,GRAY FS36270,SG,A,1
0,C,C307,#6a8891,グレー FS36320,GRAY FS36320,SG,A,1
0,C,C308,#7d9b9f,グレー FS36375,GRAY FS36375,SG,A,1
0,C,C309,#3b5c59,グリーン FS34079,GREEN FS34079,SG,A,1
0,C,C310,#766758,ブラウン FS30219,BROWN FS30219,SG,A,1
0,C,C311,#e5e6cf,グレー FS36622,GRAY FS36622,SG,A,1
0,C,C312,#418765,グリーン FS34227,GREEN FS34227,SG,A,1
0,C,C313,#e4be8a,イエロー FS33531,YELLOW FS33531 I,SG,A,1
0,C,C314,#e3f2e7,ブルー FS35622,BLUE FS35622,SG,A,1
0,C,C315,#94a8a3,グレー FS16440,GRAY FS16440,G,A,1
0,C,C316,#ffffff,ホワイト FS17875,WHITE FS17875,G,A,1
0,C,C317,#707a71,グレー FS36231,GRAY FS36231,M,A,1
0,C,C318,#fecf8d,レドーム,RADOME,SG,A,1
0,C,C319,#247260,薄松葉色,LIGHT GREEN,SG,A,1
0,C,C320,#4b5d4d,濃松葉色,DARK GREEN,SG,A,1
0,C,C321,#ae8d71,黄土色,LIGHT BROWN,SG,A,1
0,C,C322,#313c5a,フタロシアニンブルー,PHTHALO CYANNE BLUE,G,A,1
0,C,C323,#00b9f2,ライトブルー,LIGHT BLUE,G,A,1
0,C,C324,#88a5a3,ライトグレー,LIGHT GRAY,M,A,1
0,C,C325,#9faba3,グレー FS26440,GRAY FS26440,SG,A,1
0,C,C326,#35354e,ブルー FS15044,BLUE FS15044,G,A,1
0,C,C327,#9e2d33,レッド FS11136,RED FS11136,G,A,1
0,C,C328,#313c5a,ブルー FS15050,BLUE FS15050,G,A,1
0,C,C329,#f99d1c,イエロー FS13538,YELLOW FS13538,G,A,1
0,C,C330,#435050,ダークグリーン BS381C/641,DARK GREEN BS381C/641,SG,A,1
0,C,C331,#555e63,ダークシーグレー BS381C/638,DARK SEAGRAY BS381C/638,SG,A,1
0,C,C332,#8e988e,ライトエアクラフトグレー BS381C/627,LIGHT AIRCRAFT GRAY BS381C/627,SG,A,1
0,C,C333,#334f5b,エクストラダークシーグレー BS381C/640,EXTRA DARK SEAGRAY BS381C/640,SG,A,1
0,C,C334,#809494,バーリーグレー BS4800/18B21,BARLEY GRAY BS4800/18B21,SG,A,1
0,C,C335,#63797d,ミディアムシーグレー BS381C/637,MEDIUM SEAGRAY BS381C/637,SG,A,1
