color,serie,code,desc,prop,base
#7f5a44,TS,TS1,レッド ブラウン,U,1
#214e3d,TS,TS2,ダーク グリーン,U,1
#c9b44b,TS,TS3,ダーク イエロー,U,1
#485157,TS,TS4,ジャーマン グレイ,U,1
#495d3d,TS,TS5,オリーブ ドラブ,U,1
#231916,TS,TS6,マット ブラック,U,1
#e60013,TS,TS8,イタリアン レッド,U,1
#00583b,TS,TS9,ブリティッシュ グリーン,U,1
#0088cf,TS,TS10,フレンチ ブルー,U,1
#671a1f,TS,TS11,マルーン,U,1
#f08300,TS,TS12,オレンジ,U,1
#231916,TS,TS14,ブラック,U,1
#00479d,TS,TS15,ブルー,U,1
#fff100,TS,TS16,イエロー,U,1
#dcdddd,TS,TS17,アルミ シルバー,ME,1
#e6003e,TS,TS18,メタリック レッド,ME,1
#0056a2,TS,TS19,メタリック ブルー,ME,1
#009f41,TS,TS20,メタリック グリーン,ME,1
#d6b400,TS,TS21,ゴールド,ME,1
#dbe000,TS,TS22,ライト グリーン,U,1
#00a1e9,TS,TS23,ライト ブルー,U,1
#56498e,TS,TS24,パープル,U,1
#f4b4d0,TS,TS25,ピンク,U,1
#3c5c37,TS,TS28,オリーブ ドラブ2,U,1
#231916,TS,TS29,セミグロス ブラック,U,1
#dedfdf,TS,TS30,シルバー リーフ,ME,1
#ea5505,TS,TS31,ブライト オレンジ,U,1
#698f99,TS,TS32,ヘイズ グレイ,U,1
#97412a,TS,TS33,ダルレッド,U,1
#fabe00,TS,TS34,キャメル イエロー,U,1
#009944,TS,TS35,パーク グリーン,U,1
#e60013,TS,TS36,蛍光レッド,FL,1
#601986,TS,TS37,ラベンダー,U,1
#595757,TS,TS38,ガンメタル,ME,1
#c8171e,TS,TS39,マイカ レッド,U,1
#3e3a39,TS,TS40,メタリック ブラック,ME,1
#00b1a7,TS,TS41,コーラル ブルー,U,1
#898989,TS,TS42,ライト ガンメタル,ME,1
#004c32,TS,TS43,レーシング グリーン,U,1
#0065ae,TS,TS44,ブリリアント ブルー,U,1
#e5b876,TS,TS46,ライト サンド,U,1
#ffe100,TS,TS47,クローム イエロー,U,1
#708894,TS,TS48,ガンシップ グレイ,U,1
#e60013,TS,TS49,ブライト レッド,U,1
#00398e,TS,TS50,マイカ ブルー,U,1
#003c90,TS,TS51,レーシング ブルー,U,1
#22ac39,TS,TS52,キャンディー ライムグリーン,U,1
#031c6a,TS,TS53,ディープ メタリックブルー,ME,1
#007aaa,TS,TS54,ライト メタリックブルー,ME,1
#002f55,TS,TS55,ダーク ブルー,U,1
#f08300,TS,TS56,ブリリアント オレンジ,U,1
#5877ba,TS,TS57,ブルー バイオレット,U,1
#79a2ca,TS,TS58,パール ライトブルー,U,1
#cf93a6,TS,TS59,パール ライトレッド,U,1
#89c4a9,TS,TS60,パール グリーン,U,1
#265438,TS,TS61,NATO グリーン,U,1
#6a4b31,TS,TS62,NATO ブラウン,U,1
#2f2125,TS,TS63,NATO ブラック,U,1
#00243f,TS,TS64,ダーク マイカブルー,U,1
#717c85,TS,TS66,呉海軍工廠 グレイ(日本海軍),U,1
#535760,TS,TS67,佐世保海軍工廠 グレイ(日本海軍),U,1
#bfaf86,TS,TS68,木甲板色,U,1
#5e4a33,TS,TS69,リノリウム 甲板色,U,1
#265438,TS,TS70,OD色 (陸上自衛隊),U,1
#cac4c8,TS,TS71,スモーク,U,1
#00afd5,TS,TS72,クリヤー ブルー,C,1
#f18900,TS,TS73,クリヤー オレンジ,C,1
#e60039,TS,TS74,クリヤー レッド,C,1
#d2c89b,TS,TS75,シャンパン ゴールド,ME,1
#dcdddd,TS,TS76,マイカ シルバー,ME,1
#facd8f,TS,TS77,フラット フレッシュ,M,1
#3f6b76,TS,TS78,フィールド グレイ,U,1
#c1cac9,TS,TS81,ロイヤル ライトグレイ,U,1
#231916,TS,TS82,ラバー ブラック,U,1
#e60013,TS,TS85,ブライト マイカレッド,U,1
#e60013,TS,TS86,ピュアー レッド,U,1
#dbca94,TS,TS87,チタン ゴールド,ME,1
#dddccf,TS,TS88,チタン シルバー,ME,1
#003c90,TS,TS89,パール ブルー,U,1
#7f5c2e,TS,TS90,茶色 (陸上自衛隊),U,1
#19603a,TS,TS91,濃緑色 (陸上自衛隊),U,1
#ee7800,TS,TS92,メタリック オレンジ,ME,1
#005bac,TS,TS93,ピュアー ブルー,U,1
#727171,TS,TS94,メタリック グレイ,ME,1
#df0011,TS,TS95,ピュアー メタリックレッド,ME,1
#f7ab00,TS,TS96,蛍光 オレンジ,FL,1
#ffea00,TS,TS97,パール イエロー,U,1
#f39800,TS,TS98,ピュアー オレンジ,U,1
#7d8086,TS,TS99,舞鶴海軍工廠 グレイ(日本海軍),U,1
#717f87,TS,TS100,ブライトガンメタル (セミグロス),ME,1
#00a496,TS,TS102,コバルト グリーン,U,1
#fffef8,TS,TS7,レーシング ホワイト,U,1
#ffffff,TS,TS13,クリヤー,C,1
#ffffff,TS,TS26,ピュアー ホワイト,U,1
#ffffff,TS,TS27,マット ホワイト,U,1
#ffffff,TS,TS45,パール ホワイト,U,1
#ffffff,TS,TS65,パール クリヤー,C,1
#ffffff,TS,TS79,セミグロス クリヤー,C,1
#ffffff,TS,TS80,フラット クリヤー,C,1
#ffffff,TS,TS101,ベース ホワイト,U,1
#c1c5cc,TS,TS83,メタル シルバー,ME,1
#d2c37c,TS,TS84,メタル ゴールド,ME,1
#234945,AS,AS1,暗緑色,M,1
#a3aba8,AS,AS2,明灰白色,M,1
#285960,AS,AS3,グレイ グリーン,M,1
#364951,AS,AS4,グレイ バイオレット,M,1
#8db5b7,AS,AS5,ライト ブルー,M,1
#495d3d,AS,AS6,オリーブ ドラブ,M,1
#95a0a5,AS,AS7,ニュートラル グレイ,M,1
#003686,AS,AS8,ネービー ブルー,M,1
#4a5434,AS,AS9,ダーク グリーン,M,1
#8498ab,AS,AS10,オーシャン グレイ,M,1
#b9bbaa,AS,AS11,ミディアム シーグレイ,M,1
#c9caca,AS,AS12,シルバー メタル,ME,1
#364e3b,AS,AS13,グリーン,M,1
#44613f,AS,AS14,オリーブ グリーン,M,1
#bc9966,AS,AS15,タン,M,1
#d0cdc1,AS,AS16,ライト グレイ,M,1
#0c5e4c,AS,AS17,濃緑色,M,1
#a7b5b4,AS,AS18,明灰緑色,M,1
#599ab6,AS,AS19,インターミディ エイトブルー,M,1
#dddcd6,AS,AS20,インシグニア ホワイト,M,1
#004234,AS,AS21,暗緑色2 (日本海軍),M,1
#7e5c51,AS,AS22,ダークアース,M,1
#3c6934,AS,AS23,ライトグリーン (ドイツ空軍),M,1
#244f34,AS,AS24,ダークグリーン (ドイツ空軍),M,1
#80a1b0,AS,AS25,ダーク ゴーストグレイ,M,1
#98b4c1,AS,AS26,ライト ゴーストグレイ,M,1
#8da0a9,AS,AS27,ガンシップ グレイ2,M,1
#8da0a9,AS,AS28,ミディアム グレイ,M,1
#b9c4a7,AS,AS29,灰緑色 (日本海軍),M,1
#355633,AS,AS30,ダークグリーン2 (イギリス空軍),M,1
#6d8e9b,AS,AS31,オーシャングレイ2 (イギリス空軍),M,1
#abbfbb,AS,AS32,ミディアムシーグレイ2 (イギリス空軍),M,1
#6f6f6f,AS,AS33,カモフラージュ グレイ,M,1
#b7b8b8,XF,XF16,フラット アルミ,ME,6
#103a58,XF,XF17,シーブルー,M,6
#0878a0,XF,XF18,ミディアム ブルー,M,6
#c9d1c9,XF,XF19,スカイ グレイ,M,6
#b0bcb7,XF,XF20,ミディアム グレイ,M,6
#e8f1cd,XF,XF21,スカイ,M,6
#526367,XF,XF22,RLM グレイ,M,6
#7eccde,XF,XF23,ライト ブルー,M,6
#326878,XF,XF24,ダーク グレイ,M,6
#849aa6,XF,XF25,ライト シーグレイ,M,6
#0a6441,XF,XF26,ディープ グリーン,M,6
#004631,XF,XF27,ブラック グリーン,M,6
#a58063,XF,XF28,ダーク コッパー,ME,6
#9b8f33,XF,XF49,カーキ,M,6
#0c81a5,XF,XF50,フィールド ブルー,M,6
#575f5c,XF,XF51,カーキ ドラブ,M,6
#994930,XF,XF52,フラット アース,M,6
#71848e,XF,XF53,ニュートラル グレイ,M,6
#acb2b3,XF,XF54,ダーク シーグレイ,M,6
#cbbea2,XF,XF55,デッキタン,M,6
#727171,XF,XF56,メタリック グレイ,ME,6
#cba77b,XF,XF57,バフ,M,6
#204837,XF,XF58,オリーブ グリーン,M,6
#f3c787,XF,XF59,デザート イエロー,M,6
#c8b241,XF,XF60,ダーク イエロー,M,6
#004631,XF,XF61,ダーク グリーン,M,6
#485a3b,XF,XF62,オリーブ ドラブ,M,6
#436878,XF,XF63,ジャーマン グレイ,M,6
#503928,XF,XF64,レッド ブラウン,M,6
#3f6b76,XF,XF65,フィールド グレイ,M,6
#516a76,XF,XF66,ライト グレイ,M,6
#265438,XF,XF67,NATO グリーン,M,2
#6a4b31,XF,XF68,NATO ブラウン,M,2
#231916,XF,XF69,NATO ブラック,M,2
#004234,XF,XF70,暗緑色2,M,6
#759875,XF,XF71,コックピット色 (日本海軍),M,6
#7f5c2e,XF,XF72,茶色 (陸上自衛隊),M,2
#19603a,XF,XF73,濃緑色 (陸上自衛隊),M,2
#265438,XF,XF74,OD色 (陸上自衛隊),M,2
#717c85,XF,XF75,呉海軍工廠 グレイ(日本海軍),M,2
#b9c4a7,XF,XF76,灰緑色 (日本海軍),M,2
#535760,XF,XF77,佐世保海軍工廠 グレイ(日本海軍),M,2
#bfaf86,XF,XF78,木甲板色,M,2
#5e4a33,XF,XF79,リノリウム 甲板色,M,2
#c1cac9,XF,XF80,ロイヤル ライトグレイ,M,2
#355633,XF,XF81,ダークグリーン2 (イギリス空軍),M,2
#6c8d9a,XF,XF82,オーシャングレイ2 (イギリス空軍),M,2
#abbfba,XF,XF83,ミディアムシーグレイ2 (イギリス空軍),M,2
#524333,XF,XF84,ダークアイアン (履帯色),M,6
#231916,XF,XF85,ラバー ブラック,M,6
#7d8086,XF,XF87,舞鶴海軍工廠 グレイ(日本海軍),M,2
#c9b44b,XF,XF88,ダークイエロー2 (ドイツ陸軍),M,2
#5b8361,XF,XF89,ダークグリーン2 (ドイツ陸軍),M,2
#4f3833,XF,XF90,レッドブラウン2 (ドイツ陸軍),M,2
#636b74,XF,XF91,横須賀海軍工廠 グレイ(日本海軍),M,2
#b28350,XF,XF92,イエローブラウン (DAK 1941〜),M,2
#e6b36e,XF,XF93,ライトブラウン (DAK 1942〜),M,2
#ffffff,XF,XF86,フラット クリヤー,C,2
#ffffff,PS,PS1,ホワイ,G,1
#e60013,PS,PS2,レッド,G,1
#00a5ea,PS,PS3,ライトブルー,G,1
