brand,serie,code,color,base,surface,medium
gunze,C,C1,16777215,1,G,1
gunze,C,C2,2301728,1,G,1
gunze,C,C3,15539236,1,G,1
gunze,C,C4,16768256,1,G,1
gunze,C,C5,23210,1,G,1
gunze,C,C6,26677,1,G,1
gunze,C,C7,13254966,1,G,1
gunze,C,C8,13751252,1,ME,1
gunze,C,C9,14462769,1,ME,1
gunze,C,C10,13464378,1,ME,1
gunze,C,C11,11844543,1,SG,1
gunze,C,C12,7298876,1,SG,1
gunze,C,C13,6781571,1,SG,1
gunze,C,C14,2314075,1,SG,1
gunze,C,C15,14624,1,SG,1
gunze,C,C16,2249791,1,SG,1
gunze,C,C17,5329996,1,SG,1
gunze,C,C18,2571341,1,SG,1
gunze,C,C19,10322245,1,SG,1
gunze,C,C20,5095333,1,SG,1
gunze,C,C21,11176523,1,SG,1
gunze,C,C22,6050116,1,SG,1
gunze,C,C23,4939853,1,SG,1
gunze,C,C25,7370851,1,SG,1
gunze,C,C26,13621930,1,SG,1
gunze,C,C27,11707189,1,SG,1
gunze,C,C28,2301728,1,ME,1
gunze,C,C29,6370363,1,SG,1
gunze,C,C30,16777215,1,M,1
gunze,C,C31,8686733,1,SG,1
gunze,C,C32,4742500,1,SG,1
gunze,C,C33,2301728,1,M,1
gunze,C,C34,38362,1,G,1
gunze,C,C35,9744574,1,SG,1
gunze,C,C36,2507074,1,SG,1
gunze,C,C37,5530720,1,SG,1
gunze,C,C38,4476989,1,M,1
gunze,C,C39,12228453,1,M,1
gunze,C,C40,3097160,1,M,1
gunze,C,C41,5715000,1,M,1
gunze,C,C42,5059896,1,SG,1
gunze,C,C43,7426362,1,SG,1
gunze,C,C44,12886638,1,SG,1
gunze,C,C45,12169348,1,SG,1
gunze,C,C46,16777215,1,C,1
gunze,C,C47,15539236,1,C,1
gunze,C,C48,16765953,1,C,1
gunze,C,C49,15885602,1,C,1
gunze,C,C50,44783,1,C,1
gunze,C,C51,14920828,1,SG,1
gunze,C,C52,4216401,1,M,1
gunze,C,C54,3819840,1,M,1
gunze,C,C55,5986109,1,M,1
gunze,C,C56,7315355,1,SG,1
gunze,C,C57,31602,1,ME,1
gunze,C,C58,16021792,1,SG,1
gunze,C,C59,15679523,1,G,1
gunze,C,C60,9802880,1,SG,1
gunze,C,C61,5789532,1,ME,1
gunze,C,C62,16777215,1,M,1
gunze,C,C63,15823512,1,G,1
gunze,C,C64,2009674,1,G,1
gunze,C,C65,478882,1,G,1
gunze,C,C66,42576,1,G,1
gunze,C,C67,4731015,1,G,1
gunze,C,C68,14295336,1,G,1
gunze,C,C69,16184302,1,G,1
gunze,C,C70,3819840,1,M,1
gunze,C,C71,3688782,1,G,1
gunze,C,C72,2970978,1,SG,1
gunze,C,C73,7510424,1,G,1
gunze,C,C74,1733502,1,G,1
gunze,C,C75,11479600,1,ME,1
gunze,C,C76,23210,1,ME,1
gunze,C,C77,36952,1,ME,1
gunze,C,C78,2301728,1,ME,1
gunze,C,C79,15539236,1,G,1
gunze,C,C80,3027090,1,SG,1
gunze,C,C81,8139065,1,G,1
gunze,C,C90,13093066,1,ME,1
gunze,C,C92,2301728,1,SG,1
gunze,C,C97,11188143,1,G,1
gunze,C,C100,11479613,1,G,1
gunze,C,C101,3878688,1,G,1
gunze,C,C104,11057343,1,ME,1
gunze,C,C107,15790574,1,SG,1
gunze,C,C108,13182251,1,SG,1
gunze,C,C109,16089631,1,SG,1
gunze,C,C110,478882,1,SG,1
gunze,C,C111,16637391,1,SG,1
gunze,C,C112,16364978,1,SG,1
gunze,C,C113,16426521,1,SG,1
gunze,C,C114,13181770,1,SG,1
gunze,C,C115,7180960,1,SG,1
gunze,C,C116,4210753,1,SG,1
gunze,C,C117,11520969,1,SG,1
gunze,C,C118,7839662,1,SG,1
gunze,C,C119,9597535,1,SG,1
gunze,C,C120,1654572,1,SG,1
gunze,C,C121,5329996,1,SG,1
gunze,C,C122,6587739,1,SG,1
gunze,C,C123,3955795,1,SG,1
gunze,C,C124,215844,1,SG,1
gunze,C,C125,3619,1,SG,1
gunze,C,C126,5531977,1,SG,1
gunze,C,C127,10662272,1,SG,1
gunze,C,C128,10857377,1,SG,1
gunze,C,C129,5466453,1,SG,1
gunze,C,C130,5661512,1,SG,1
gunze,C,C131,4923412,1,SG,1
